"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.07,0.15,0.06,0.1,0.1,0.1,0.08,0.1
"2",0.18,0.24,0.17,0.1,0.16,0.23,0.1,0.12
"3",0.33,0.28,0.32,0.3,0.27,0.26,0.22,0.32
"4",0.42,0.39,0.4,0.38,0.4,0.44,0.23,0.46
"5",0.67,0.55,0.47,0.54,0.56,0.52,0.43,0.49
"6",0.62,0.58,0.7,0.51,0.73,0.61,0.41,0.6
"7",0.76,0.72,0.83,0.77,0.85,0.74,0.52,0.75
"8",0.86,0.81,0.85,0.88,0.89,0.92,0.62,0.87
"9",0.89,0.89,0.94,0.91,0.92,0.94,0.74,0.96
"10",0.97,0.98,0.96,0.95,0.97,0.98,0.85,0.94
"11",0.99,1,0.98,0.96,0.99,0.98,0.89,0.97
"12",0.98,1,1,0.98,0.99,0.99,0.95,0.99
"13",0.99,1,1,1,0.99,1,0.93,1
"14",1,1,1,1,1,1,0.98,1
"15",1,1,1,1,1,1,0.98,1
"16",1,1,1,1,1,1,0.98,1
"17",1,1,1,1,1,1,1,1
"18",1,1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1,1
"21",1,1,1,1,1,1,1,1
"22",1,1,1,1,1,1,1,1
"23",1,1,1,1,1,1,1,1
"24",1,1,1,1,1,1,1,1
"25",1,1,1,1,1,1,1,1
"26",1,1,1,1,1,1,1,1
"27",1,1,1,1,1,1,1,1
"28",1,1,1,1,1,1,1,1
"29",1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1
